4FGL-DR4,glat,glon,significance,r95,variability,Ep,Fp,d,association,prediction,p_bll,p_fsrq,p_pulsar
4FGL J1847.0-0625,-1.949,26.718,8.580,0.105,26.716,2.124,0.954,0.777,unid,pulsar,0.005,0.005,0.990
4FGL J1847.2-0141,0.161,30.948,7.611,0.094,14.228,0.419,87.393,0.436,unid,pulsar,0.002,0.006,0.992
4FGL J1847.2-1633,-6.574,17.661,4.091,0.189,21.629,0.100,1.105,0.098,unid,fsrq,0.348,0.643,0.009
4FGL J1847.2-0200,0.002,30.665,6.666,0.065,12.602,0.823,25.549,0.523,unid,pulsar,0.003,0.008,0.989
4FGL J1847.5-0859,-3.224,24.468,4.171,0.250,9.819,0.280,1.282,0.435,unid,pulsar,0.058,0.826,0.116
4FGL J1847.7-0125,0.168,31.237,5.216,0.068,6.742,0.219,4.763,0.107,unid,bll,0.820,0.167,0.012
4FGL J1847.7+3543,16.131,65.264,4.996,0.066,9.740,7.791,0.011,0.440,unid,bll,0.930,0.067,0.003
4FGL J1847.7-3433,-14.299,1.110,6.791,0.090,10.035,1.852,0.111,0.827,unid,pulsar,0.032,0.086,0.882
4FGL J1847.9+5022,21.087,79.826,4.677,0.268,22.281,0.178,0.050,0.262,unid,bll,0.697,0.296,0.007
4FGL J1848.1-0148,-0.090,30.949,4.337,0.093,7.456,2.336,3.101,0.610,unid,pulsar,0.007,0.005,0.987
4FGL J1848.2-1309,-5.261,20.824,6.187,0.196,10.255,0.779,0.807,0.893,unid,pulsar,0.001,0.011,0.988
4FGL J1848.2-0016,0.581,32.330,7.250,0.125,7.884,0.815,8.437,0.555,unid,pulsar,0.006,0.014,0.980
4FGL J1848.7-6307,-23.701,332.511,4.878,0.053,9.374,18.561,0.007,0.169,unid,bll,0.916,0.077,0.007
4FGL J1848.8+0701,3.764,38.906,4.243,0.165,9.132,0.239,11.282,0.945,unid,pulsar,0.085,0.144,0.771
4FGL J1849.0-1826,-7.794,16.153,6.774,0.103,19.056,0.417,0.501,0.458,unid,pulsar,0.067,0.530,0.403
4FGL J1849.1-0652,-2.624,26.551,5.007,0.089,14.009,0.985,0.361,0.505,unid,pulsar,0.012,0.013,0.975
4FGL J1849.2+2106,9.919,51.666,4.667,0.113,22.877,0.100,4.959,-0.100,unid,fsrq,0.275,0.715,0.010
4FGL J1849.4-0117,-0.146,31.547,6.202,0.111,23.006,0.315,33.332,0.300,unid,pulsar,0.088,0.088,0.824
4FGL J1849.8-0952,-4.139,23.942,4.930,0.179,5.344,0.542,1.045,0.957,unid,pulsar,0.025,0.250,0.725
4FGL J1850.2-0201,-0.669,30.998,5.307,0.175,8.092,0.100,12.371,0.128,unid,fsrq,0.680,0.249,0.071
4FGL J1850.7-3126,-13.626,4.315,6.416,0.119,17.972,0.460,0.414,0.746,unid,pulsar,0.009,0.577,0.414
