name,glon,glat,ts,r95,curvature,Fp,Ep,source type
4FGL J1315.9-6243,305.646,-0.002,72.414,0.094,0.944,2.040,1.567,UNID-PSR
4FGL J1317.5-0153,316.145,60.201,74.873,0.080,1.195,0.065,1.767,UNID-PSR
4FGL J1317.5-6316,305.842,-0.547,607.965,0.034,0.892,27.465,1.135,UNID-PSR
4FGL J1320.3-6410,306.127,-1.502,95.864,0.118,0.664,4.163,0.432,UNID-PSR
4FGL J1320.5-6256,306.295,-0.216,44.685,0.092,1.913,1.005,3.438,UNID-PSR
4FGL J1321.1-6239,306.528,0.141,108.029,0.118,0.836,9.221,0.526,UNID-PSR
4FGL J1325.3-5413,307.930,8.355,251.910,0.045,0.445,2.394,0.382,UNID-PSR
4FGL J1328.4-6231,307.141,0.218,29.528,0.238,1.118,2.083,0.460,UNID-PSR
4FGL J1329.9-6108,307.569,1.382,761.178,0.028,0.925,12.788,1.778,UNID-PSR
4FGL J1335.0-5656,308.897,5.432,515.512,0.025,0.612,3.042,2.357,MSP
4FGL J1338.4-5923,308.890,2.964,48.195,0.161,1.963,0.716,1.120,UNID-PSR
4FGL J1341.7-6216,308.745,0.003,82.317,0.049,1.269,1.731,5.298,young
4FGL J1344.2-6517,308.423,-2.984,54.901,0.086,0.762,0.218,1.580,UNID-PSR
4FGL J1345.9-2612,317.894,35.089,214.513,0.052,1.544,0.446,1.499,MSP
4FGL J1350.6-6224,309.733,-0.334,1192.420,0.021,0.990,73.791,2.457,young
4FGL J1351.6-6142,310.031,0.340,352.378,0.053,0.485,34.019,0.603,UNID-PSR
4FGL J1356.6+0234,338.139,60.863,144.656,0.063,1.096,0.183,1.378,MSP
4FGL J1357.3-6123,310.771,0.610,114.415,0.110,1.220,11.025,0.830,UNID-PSR
4FGL J1357.8-5724,311.816,4.313,50.781,0.115,1.415,0.290,1.365,UNID-PSR
4FGL J1358.3-6026,311.124,1.377,947.179,0.033,0.494,62.103,0.416,young
4FGL J1400.0-2415,322.359,35.996,448.324,0.031,1.051,0.863,2.186,UNID-PSR
4FGL J1400.4-6050,311.213,0.963,73.410,0.079,1.035,3.131,1.277,UNID-PSR
4FGL J1400.5-6147,311.003,-0.000,55.881,0.100,0.887,2.598,1.507,UNID-PSR
4FGL J1400.6-1432,326.989,45.077,683.238,0.032,0.795,1.998,1.444,MSP
4FGL J1401.2-6116,311.216,0.601,72.267,0.084,1.879,3.179,2.368,UNID-PSR
4FGL J1401.3-5012,314.233,11.186,71.755,0.078,0.622,0.226,0.801,UNID-PSR
